"StdyWk1","StdyWk2","StdyWk3","StdyWk4","StdyWk5","StdyWk6","StdyWk7","StdyWk8","StdyWk9","StdyWk10","StdyWk11","StdyWk12","StdyWk13","StdyWk14","StdyWk15","StdyWk16","StdyWk17","StdyWk18","StdyWk19","StdyWk20","StdyWk21","StdyWk22"
NA,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,NA
NA,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,1,5,3,0,0,NA
NA,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,4,9,0,0,NA
NA,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,1,0,3,0,0,NA
NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,NA
NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,42,3,0,NA
NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,NA
NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,NA
NA,1,7,1,0,2,0,1,0,0,0,0,0,0,0,0,1,6,20,2,18,NA
NA,0,2,4,2,6,0,1,0,1,0,0,1,0,3,1,2,8,15,2,0,NA
NA,0,2,5,1,2,0,0,1,1,0,0,0,0,1,0,8,16,37,8,1,NA
NA,1,0,5,5,0,3,0,0,1,0,0,0,2,1,0,9,12,17,1,0,NA
NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,NA
NA,NA,6,2,1,0,1,0,1,0,1,0,0,0,0,0,0,7,9,1,1,NA
NA,NA,2,1,2,1,0,0,1,0,0,0,0,0,0,0,0,4,11,3,1,NA
NA,NA,1,1,0,0,1,0,0,1,0,0,0,0,2,0,0,2,10,0,0,NA
NA,NA,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,7,6,0,0,NA
NA,NA,9,2,4,0,1,1,4,0,1,0,0,0,0,0,3,9,4,1,0,NA
NA,NA,4,3,1,1,0,0,0,1,0,0,0,0,0,0,6,9,7,0,0,NA
NA,NA,7,3,0,0,0,0,0,1,0,0,0,0,0,0,5,2,3,0,2,NA
NA,0,3,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2,0,0,NA
NA,1,2,3,0,0,0,2,0,0,0,0,0,0,0,0,1,4,2,0,0,NA
NA,1,4,2,0,0,0,1,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
NA,0,1,3,0,0,0,0,1,0,0,0,0,0,0,0,1,9,1,0,0,NA
NA,0,7,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,NA
NA,1,6,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,NA
NA,1,10,0,2,1,0,2,0,1,1,0,0,0,0,0,0,1,1,0,1,NA
NA,0,8,1,0,0,0,0,1,1,1,1,0,1,0,0,0,1,1,0,0,NA
NA,35,26,4,0,3,0,0,6,5,7,4,1,36,6,24,11,33,55,12,1,NA
NA,19,25,5,0,1,4,2,1,1,4,0,0,10,6,4,3,26,37,6,0,NA
NA,37,24,2,1,3,4,1,3,3,3,0,2,12,8,4,7,14,17,5,0,NA
NA,16,26,3,0,0,5,1,1,2,2,0,1,15,12,16,4,10,3,2,1,NA
NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,NA
NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,NA
NA,49,22,22,8,3,5,1,0,0,1,0,0,0,0,3,20,24,62,5,2,NA
NA,13,31,12,5,0,1,1,1,2,1,0,0,0,0,0,19,15,51,3,0,NA
NA,14,16,4,2,3,3,1,0,0,1,1,0,0,0,1,1,3,5,0,7,NA
NA,14,15,3,1,4,0,0,1,0,2,0,1,1,1,0,9,3,0,1,0,NA
NA,NA,10,4,3,1,1,1,0,0,0,0,1,0,0,0,0,1,7,3,0,NA
NA,NA,2,2,2,0,0,0,0,0,0,NA,NA,NA,NA,NA,0,0,2,1,1,NA
NA,NA,3,4,0,0,0,1,0,1,0,0,0,0,0,0,0,3,2,5,2,NA
NA,NA,3,2,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,1,0,NA
NA,NA,35,18,6,0,2,15,11,3,3,0,4,5,0,4,3,1,64,8,1,NA
NA,NA,33,9,2,1,2,5,2,1,0,0,0,0,0,0,9,5,5,0,1,NA
NA,NA,43,2,2,3,3,1,0,0,0,0,2,1,0,0,5,12,6,3,0,NA
NA,NA,46,10,2,6,3,8,3,4,2,1,3,1,0,0,10,2,2,2,0,NA
NA,0,5,6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,NA
NA,0,7,6,1,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,0,NA
NA,0,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,NA
NA,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,NA
NA,4,11,3,1,0,0,0,0,1,0,0,0,0,0,0,0,2,6,1,0,NA
NA,0,3,1,0,0,0,0,1,1,1,0,0,0,0,0,0,1,3,0,0,NA
NA,2,8,3,1,1,0,0,2,1,4,0,0,0,0,0,0,1,2,0,0,NA
NA,0,3,1,1,1,0,0,1,0,2,0,0,0,0,0,0,4,0,0,0,NA
