"Site","MdTrt","lure","Rep","WkName","Count"
"Hwy132","meso","AlphaL2",2,"StdyWk22",0
"Hwy132","meso","AlphaL2",3,"StdyWk1",NA
"Hwy132","meso","AlphaL2",3,"StdyWk2",NA
"Hwy132","meso","AlphaL2",3,"StdyWk3",0
"Hwy132","meso","AlphaL2",3,"StdyWk4",0
"Hwy132","meso","AlphaL2",3,"StdyWk5",0
"Hwy132","meso","AlphaL2",3,"StdyWk6",0
"Hwy132","meso","AlphaL2",3,"StdyWk7",0
"Hwy132","meso","AlphaL2",3,"StdyWk8",1
"Hwy132","meso","AlphaL2",3,"StdyWk9",0
"Hwy132","meso","AlphaL2",3,"StdyWk10",0
"Hwy132","meso","AlphaL2",3,"StdyWk11",0
"Hwy132","meso","AlphaL2",3,"StdyWk12",0
"Hwy132","meso","AlphaL2",3,"StdyWk13",0
"Hwy132","meso","AlphaL2",3,"StdyWk14",0
"Hwy132","meso","AlphaL2",3,"StdyWk15",0
"Hwy132","meso","AlphaL2",3,"StdyWk16",0
"Hwy132","meso","AlphaL2",3,"StdyWk17",0
"Hwy132","meso","AlphaL2",3,"StdyWk18",0
"Hwy132","meso","AlphaL2",3,"StdyWk19",4
"Hwy132","meso","AlphaL2",3,"StdyWk20",1
"Hwy132","meso","AlphaL2",3,"StdyWk21",1
"Hwy132","meso","AlphaL2",3,"StdyWk22",0
"Hwy132","meso","AlphaL2",4,"StdyWk1",NA
"Hwy132","meso","AlphaL2",4,"StdyWk2",NA
"Hwy132","meso","AlphaL2",4,"StdyWk3",1
"Hwy132","meso","AlphaL2",4,"StdyWk4",0
"Hwy132","meso","AlphaL2",4,"StdyWk5",0
"Hwy132","meso","AlphaL2",4,"StdyWk6",0
"Hwy132","meso","AlphaL2",4,"StdyWk7",0
"Hwy132","meso","AlphaL2",4,"StdyWk8",1
"Hwy132","meso","AlphaL2",4,"StdyWk9",2
"Hwy132","meso","AlphaL2",4,"StdyWk10",0
"Hwy132","meso","AlphaL2",4,"StdyWk11",0
"Hwy132","meso","AlphaL2",4,"StdyWk12",0
"Hwy132","meso","AlphaL2",4,"StdyWk13",0
