"StdyWk1","StdyWk2","StdyWk3","StdyWk4","StdyWk5","StdyWk6","StdyWk7","StdyWk8","StdyWk9","StdyWk10","StdyWk11","StdyWk12","StdyWk13","StdyWk14","StdyWk15","StdyWk16","StdyWk17","StdyWk18","StdyWk19","StdyWk20","StdyWk21","StdyWk22"
NA,13,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
NA,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
NA,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NA,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NA,0,0,0,0,0,0,0,9,0,1,2,0,0,0,0,0,15,1,0,0,4
NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
NA,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,28,1,0,1,0
NA,4,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,24,0,3,0,0
NA,NA,1,0,0,1,1,0,0,1,0,0,0,0,0,1,1,4,2,2,0,0
NA,NA,0,0,1,2,1,0,1,0,0,0,0,0,0,3,1,1,0,0,2,1
NA,NA,0,0,0,0,2,0,0,0,1,1,0,0,2,0,0,0,1,5,2,0
NA,NA,0,1,0,0,1,0,0,2,0,0,0,0,0,1,0,0,3,4,5,3
NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3
NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NA,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
NA,NA,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
NA,NA,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0
NA,NA,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,1,1,0
NA,NA,1,0,0,0,0,1,2,0,0,0,0,0,0,0,1,2,1,0,0,0
NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NA,NA,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NA,NA,0,1,0,0,0,0,0,1,2,0,1,0,0,0,0,0,3,1,1,0
NA,NA,0,0,0,0,0,0,0,0,3,1,0,0,0,1,0,0,4,1,0,0
NA,5,3,0,1,0,1,3,1,3,1,0,0,0,0,0,0,1,3,3,0,0
NA,6,0,0,0,0,0,0,0,1,2,1,3,0,1,2,0,2,0,1,0,0
NA,29,12,0,3,3,1,0,1,7,7,0,0,8,6,8,1,4,7,7,0,0
NA,18,6,0,1,1,0,0,0,3,3,0,0,7,7,6,0,5,4,1,0,0
NA,NA,16,2,2,2,0,0,2,0,4,0,0,11,13,4,0,0,0,5,1,1
NA,13,8,0,0,0,0,0,0,0,0,0,0,2,1,3,1,0,0,0,0,0
NA,8,15,4,0,0,0,0,0,0,0,2,0,0,3,0,1,0,0,1,0,0
NA,0,0,0,11,6,0,1,0,0,11,3,0,0,0,0,0,5,0,0,1,0
NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
NA,0,0,18,7,3,0,6,0,0,0,0,0,0,0,0,2,8,0,0,0,0
NA,NA,9,1,1,6,0,0,0,0,1,0,0,0,0,0,2,7,7,3,5,1
NA,NA,6,1,2,0,0,0,1,0,0,3,0,0,0,1,5,5,7,4,4,1
NA,NA,8,0,0,2,1,0,0,7,2,2,0,0,0,0,2,9,1,7,6,5
NA,NA,1,0,0,1,1,0,0,1,0,0,0,0,1,0,2,0,2,2,10,4
NA,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
NA,NA,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1
NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
NA,NA,4,0,1,3,2,0,1,2,0,0,0,0,0,0,1,2,1,38,7,5
NA,NA,9,0,1,2,3,3,2,2,0,0,0,0,0,0,4,1,14,4,6,1
NA,NA,6,1,0,0,2,1,0,2,1,1,0,2,1,0,0,7,0,14,2,1
NA,NA,3,0,1,0,2,3,0,0,0,2,1,0,0,0,2,0,11,1,4,2
NA,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
NA,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NA,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NA,2,0,0,0,1,0,0,2,3,1,0,0,0,0,0,0,NA,NA,NA,NA,NA
NA,2,1,1,0,0,1,0,0,0,1,0,0,1,1,0,0,0,4,3,0,1
NA,NA,1,2,0,1,0,0,0,0,1,0,0,0,1,0,0,5,2,4,3,0
NA,1,0,1,0,0,0,0,0,0,1,NA,NA,NA,2,0,0,2,2,1,1,0
