"TrtCode","Rep","nObs","Total"
"A",1,6,215
"A",2,6,210
"A",3,6,163
"A",4,6,192
"A",5,6,153
"A",6,6,184
"A",7,6,221
"A",8,6,259
"B",1,6,171
"B",2,6,139
"B",3,6,133
"B",4,6,198
"B",5,6,120
"B",6,6,137
"B",7,6,124
"B",8,6,224
"C",1,6,285
"C",2,6,262
"C",3,6,333
"C",4,6,297
"C",5,6,276
"C",6,6,181
"C",7,6,224
"C",8,6,373
"D",1,6,159
"D",3,6,139
"D",4,6,146
"D",5,6,99
"D",6,6,188
"D",7,6,81
"D",8,6,126
"E",1,6,258
"E",2,6,270
"E",3,6,218
"E",4,6,264
"E",5,6,248
"E",6,6,225
"E",7,6,162
"E",8,6,242
